AGS,afd21
8111,12.775
8115,14.931
8116,20.834
8117,13.199
8118,21.251
8119,19.145
8121,5.345
8125,21.185
8126,7.462
8127,10.850
8128,6.705
8135,6.274
8136,15.595
8211,1.975
8212,8.857
8215,23.724
8216,11.549
8221,3.434
8222,10.997
8225,8.205
8226,25.187
8231,6.164
8235,9.521
8236,12.228
8237,7.018
8311,4.773
8315,8.694
8316,5.685
8317,17.965
8325,8.328
8326,10.019
8327,7.512
8335,10.340
8336,7.511
8337,6.610
8415,13.405
8416,7.774
8417,10.572
8421,3.395
8425,9.051
8426,9.776
8435,9.098
8436,11.618
8437,6.773
