BIP,AGS
57369000,8111
25988000,8115
22779000,8116
8894000,8117
25522000,8118
15081000,8119
6993000,8121
19019000,8125
5676000,8126
8231000,8127
5260000,8128
4855000,8135
14088000,8136
3008000,8211
20475000,8212
16793000,8215
10213000,8216
9167000,8221
20921000,8222
4630000,8225
18763000,8226
5057000,8231
4625000,8235
6172000,8236
4715000,8237
11909000,8311
7921000,8315
5445000,8316
17657000,8317
6100000,8325
8513000,8326
7178000,8327
9990000,8335
7715000,8336
5323000,8337
11580000,8415
7709000,8416
6730000,8417
9725000,8421
6269000,8425
10517000,8426
11057000,8435
12798000,8436
5008000,8437
