Kategorie: Alle Kategorien

Woche,Urlaub: (Baden-Württemberg)
2020-01-05,84
2020-01-12,77
2020-01-19,66
2020-01-26,64
2020-02-02,54
2020-02-09,50
2020-02-16,51
2020-02-23,51
2020-03-01,49
2020-03-08,51
2020-03-15,42
2020-03-22,27
2020-03-29,27
2020-04-05,25
2020-04-12,36
2020-04-19,39
2020-04-26,42
2020-05-03,51
2020-05-10,58
2020-05-17,70
2020-05-24,73
2020-05-31,79
2020-06-07,70
2020-06-14,73
2020-06-21,70
2020-06-28,74
2020-07-05,84
2020-07-12,87
2020-07-19,84
2020-07-26,89
2020-08-02,100
2020-08-09,95
2020-08-16,89
2020-08-23,70
2020-08-30,56
2020-09-06,49
2020-09-13,43
2020-09-20,43
2020-09-27,33
2020-10-04,32
2020-10-11,28
2020-10-18,25
2020-10-25,22
2020-11-01,16
2020-11-08,19
2020-11-15,18
2020-11-22,19
2020-11-29,21
2020-12-06,21
2020-12-13,26
2020-12-20,24
2020-12-27,29
2021-01-03,32
2021-01-10,24
2021-01-17,24
2021-01-24,27
2021-01-31,28
2021-02-07,23
2021-02-14,25
2021-02-21,29
2021-02-28,27
2021-03-07,28
2021-03-14,32
